index,Health index
0,48.007400000000096
1,48.08000000000039
2,48.59740000000003
3,13.399999999999899
4,13.405599999999898
5,13.63359999999994
6,16.933999999999962
7,56.0387999999999
8,13.399999999999899
9,48.24080000000038
10,48.050000000000345
11,13.399999999999899
12,13.399999999999897
13,29.89659999999985
14,13.400599999999898
15,14.433199999999884
16,20.238999999999866
17,45.4848000000004
18,17.913599999999878
19,41.42060000000021
20,70.06099999999994
21,13.4265999999999
22,50.99640000000035
23,13.495399999999906
24,43.39720000000032
25,17.938599999999987
26,13.85779999999989
27,43.75920000000034
28,32.67339999999992
29,27.30559999999987
30,42.62919999999996
31,13.406399999999898
32,41.82240000000012
33,20.141599999999855
34,73.85579999999993
35,50.742600000000415
36,13.399999999999899
37,19.810399999999884
38,13.399999999999899
39,37.633799999999695
40,21.12659999999987
41,13.400999999999899
42,17.433799999999877
43,35.340999999999745
44,13.449799999999897
45,36.956
46,13.4813999999999
47,44.46740000000029
48,34.053799999999896
49,20.193399999999865
50,19.933399999999903
51,13.399999999999899
52,15.829199999999872
53,23.401799999999888
54,13.71639999999998
55,30.34339999999975
56,43.5004000000004
57,20.877399999999856
58,50.40540000000012
59,37.92279999999972
60,34.88319999999974
61,13.399999999999899
62,13.458999999999898
63,29.476999999999855
64,45.43480000000031
65,18.80539999999986
66,13.41059999999991
67,19.975999999999868
68,15.024800000000035
69,13.399999999999899
70,13.399999999999899
71,60.461
72,36.4838
73,13.399999999999899
74,55.29839999999986
75,13.399999999999899
76,13.465999999999898
77,43.206200000000095
78,20.13340000000005
79,13.449799999999897
80,13.399999999999899
81,13.400199999999899
82,19.46799999999986
83,22.966399999999858
84,52.192799999999835
85,23.057399999999852
86,13.449799999999899
87,19.41919999999988
88,50.51560000000035
89,13.479799999999896
90,38.31839999999971
91,36.6431999999997
92,13.399999999999899
93,13.399999999999899
94,23.72619999999986
95,13.4265999999999
96,56.80019999999965
97,13.399999999999899
98,50.66099999999986
99,13.4265999999999
100,37.40399999999975
101,13.430999999999898
102,13.399999999999899
103,47.798000000000066
104,27.552399999999853
105,13.4011999999999
106,13.4265999999999
107,53.78619999999988
108,69.19719999999997
109,45.134000000000306
110,32.25279999999989
111,48.029600000000386
112,48.0772
113,46.19320000000036
114,13.399999999999899
115,13.435999999999902
116,26.614800000000233
117,13.4265999999999
